company,fy,period,segment_std,summary,source_file,source_page
LGES,2025,1Q,전사,"매출: 북미 및 EV 신모델향 출하는 견조하였으나, 전반적인 OEM들의 보수적 재고 정책 기조 지속으로 전분기대비 매출 소폭 하락. 영업이익: 재료비 감축, 비용 효율화를 통한 원가 절감 노력에 더해 전분기 반영된 일회성 요인 소거로 375십억원 흑자 및 20% EBITDA Margin 기록.",251Q_LGES_business_performance_KOR.pdf,5
LGES,2025,2Q,전사,"매출: 북미지역의 안정적인 EV향 판매와 ESS Site 신규 양산에도, 정책 변동에 따른 전반적인 구매심리 위축과 메탈가 하락에 따른 판가 반영으로 매출은 전분기 대비 감소. 영업이익: 북미 생산비중 확대에 따른 제품 Mix 개선효과에 더해 전사 비용 효율화 및 재료비율 개선으로 북미 생산 인센티브 제외 영업이익도 흑자 전환.",252Q_LGES_business_performance_KOR.pdf,5
LGES,2025,3Q,전사,"매출: 미국 전기차 구매보조금 종료 등으로 EV향 파우치 수요는 약세였으나, 미시간 Site ESS 생산 및 원통형 고객사 신차 출시 효과, IT 신규 모델향 출하 대응으로 매출은 전분기 대비 소폭 증가. 영업이익: 미국 ESS 생산물량 증가, 소형 신제품 양산효과, 전사 Cost 절감 지속으로, 북미 생산 보조금 감소에도 불구하고 이를 제외한 영업이익은 2,358억원으로 전분기 대비 상당폭 개선.",25_3Q_LGES_business_performance_KOR.pdf,5
LGES,2025,4Q,전사,"매출: 미국 전기차 구매보조금 종료 영향 본격화 및 고객사 연말 재고 감축으로 EV 파우치 매출은 감소했으나, 북미 ESS 판매 물량 증가에 따른 큰 폭의 매출 성장과 전략 거래선의 견조한 EV 원통형 수요로 전분기 대비 +8% 증가. 영업이익: 비용 감축 노력에도 북미 거래선 EV 판매 둔화에 따른 제품 Mix 악화, ESS Line 추가 가동 초기 비용 부담으로 영업손실 -1,220억원 기록. 북미 생산 보조금은 EV 물량 감소로 전분기 대비 감소한 3,328억원.",25_4Q_LGES_business_performance_F_KR.pdf,6
LGES,2025,연간,전사,"선제적인 북미 LFP Capa 확대로 견조한 ESS 매출 성장이 있었으나 주요 고객사 전기차 판매 둔화로 전사 매출은 감소. 수익성 중심 제품 Mix 운영, 염가 소재 발굴 등 재료비율 개선, 안정적 북미 판매로 보조금 확대되며 전년대비 수익성 개선. 재고 감축 및 생산현지화 기반 SCM 개선으로 운전자본 효율성 제고. 원통형 46시리즈 300GWh 이상, ESS 140GWh 수주잔고 확보.",25_4Q_LGES_business_performance_F_KR.pdf,5
LGES,2026,1Q,전사,"매출: 북미 주요 고객사 재고 조정으로 EV향 파우치 물량은 감소했으나 안정적 EV향 원통형 출하와 북미 ESS Capa 확장을 통한 고객 수요 대응으로 전분기 대비 매출 소폭 증가. 북미 생산 보조금은 ESS 생산 확대에도 EV 물량 감소로 1,898억원 기록. 영업이익: 원통형/ESS 출하 확대 및 지속적 원가 절감에도, ESS 생산거점 확대에 따른 초기 Ramp-up 비용 부담과 북미 EV 파우치 물량 감소에 따른 제품 Mix 악화로 적자 기록.",26_1Q_LGES_business_performance_F_KR.pdf,5
삼성SDI,2025,1Q,배터리합계,전기차 및 전동공구 고객 재고조정 영향과 ESS 계절적 비수기 요인으로 매출 감소. 가동률 하락·고정비 증가 부담으로 수익성 악화.,2025.1Q_IR_Final_K.pdf,4
삼성SDI,2025,1Q,전자재료,OLED 소재 중심 수요 개선으로 매출 소폭 증가 및 수익성 개선.,2025.1Q_IR_Final_K.pdf,4
삼성SDI,2025,2Q,배터리합계,"매출은 전동공구용 및 AI 성장에 따른 ESS/BBU용 확판에도 불구, 전기차용 주요고객의 수요 둔화로 전분기 동등 수준 기록. 영업이익은 미주향 ESS 관세 영향과 전기차 주요 고객 보상 지연이 있었으나, 소형 배터리가 큰 폭으로 적자 축소하며 전분기 대비 소폭 개선.",2025.2Q_IR_Final_Kr.pdf,4
삼성SDI,2025,2Q,전자재료,"주요 고객 신규 스마트폰향 OLED 소재 판매 확대, 반도체 Wafer 생산 증가 영향 등으로 매출 증가 및 수익성 개선.",2025.2Q_IR_Final_Kr.pdf,4
